id,x_cg,y_cg,z_cg,u_cg,v_cg,w_cg,p_cg,lmix_cg,nut_cg,yw_cg,x_hf,y_hf,z_hf,volume_hf,yw_hf,u_hf,v_hf,w_hf,dx,dy,dz,coord_dist,du,dv,dw,err_mag,speed_hf,speed_cg,speed_error
9262,-1.922286005602e+00,3.236859492169e+00,-1.868919754144e+00,7.050719312131e-03,-1.911136389208e-02,-3.401749601962e-02,1.495342555714e+00,4.500000000000e-02,4.008008474407e-04,1.020933127182e+00,-1.922286005602e+00,3.236859492169e+00,-1.868919754144e+00,7.135678771329e-02,1.020933127182e+00,-5.967805761336e-02,2.634973940216e-02,-4.861007118242e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.672877692549e-02,-4.546110329424e-02,1.459257516279e-02,8.205111109901e-02,8.135550594412e-02,3.965030779299e-02,-4.170519815113e-02
9263,-2.286657718265e+00,3.129703654804e+00,-1.870555706333e+00,2.503436184583e-03,-5.913049555431e-02,-5.779173259583e-02,1.496631581373e+00,4.500000000000e-02,3.192834662898e-04,9.732234958797e-01,-2.286657718265e+00,3.129703654804e+00,-1.870555706333e+00,6.861191821857e-02,9.732234958797e-01,-7.196673340518e-02,-1.149931704223e-02,-6.154143253642e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.447016958976e-02,-4.763117851207e-02,3.749699940595e-03,8.847935112116e-02,9.538759315595e-02,8.271981052720e-02,-1.266778262875e-02
9264,-1.922382412318e+00,3.730232542101e+00,-1.869163865601e+00,-1.695129425928e-02,-9.078631913982e-02,-6.441434596601e-02,1.494213492774e+00,4.500000000000e-02,3.812274379982e-04,6.659476048040e-01,-1.922382412318e+00,3.730232542101e+00,-1.869163865601e+00,6.972720695220e-02,6.659476048040e-01,-7.559359703705e-02,-3.203564913937e-02,-7.929971164342e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.864230277777e-02,-5.875067000045e-02,1.488536567740e-02,8.433347503769e-02,1.141451663256e-01,1.125997783579e-01,-1.545387967734e-03
9265,-2.287086811349e+00,3.600860697367e+00,-1.871138990408e+00,-1.361119357487e-02,-1.103827632260e-01,-9.142400764098e-02,1.495000021803e+00,4.500000000000e-02,3.684886785503e-04,5.987100547667e-01,-2.287086811349e+00,3.600860697367e+00,-1.871138990408e+00,6.713578582577e-02,5.987100547667e-01,-8.980581998231e-02,-7.251162235762e-02,-9.964902427155e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.619462640744e-02,-3.787114086834e-02,8.225016630566e-03,8.548388914066e-02,1.524891757401e-01,1.439721090388e-01,-8.517066701354e-03
9266,-1.922476412094e+00,4.211271265921e+00,-1.869401499057e+00,-4.344314647629e-02,-6.051423644570e-02,-1.811300578489e-01,1.500981259022e+00,4.500000000000e-02,9.157984024419e-04,2.374748464471e-01,-1.922476412094e+00,4.211271265921e+00,-1.869401499057e+00,6.813094112823e-02,2.374748464471e-01,-1.082509609985e-01,-1.477695691086e-01,-2.609720430907e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.480781452219e-02,8.725533266292e-02,7.984198524189e-02,1.348639629724e-01,3.188424742511e-01,1.958503960800e-01,-1.229920781711e-01
9267,-2.287505180334e+00,4.060238813997e+00,-1.871707317166e+00,-4.880652697614e-02,-8.274496627020e-02,-1.782007628395e-01,1.500350162576e+00,4.500000000000e-02,1.102641632199e-03,2.267818693287e-01,-2.287505180334e+00,4.060238813997e+00,-1.871707317166e+00,6.568400127703e-02,2.267818693287e-01,-1.205612438289e-01,-1.589913962474e-01,-2.412571695729e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.175471685277e-02,7.624642997715e-02,6.305640673348e-02,1.222226161765e-01,3.130787432334e-01,2.024458406466e-01,-1.106329025868e-01
9268,1.809053983042e+00,1.071428571429e-01,-2.241626587737e+00,4.396146567468e-02,6.997952621688e-05,5.017930893220e-02,1.503128079991e+00,4.392857142857e-02,6.745020386062e-04,1.071428571429e-01,1.809053983042e+00,1.071428571429e-01,-2.241626587737e+00,4.753890324624e-02,1.071428571429e-01,-9.941399129728e-02,8.593270528411e-03,1.310181342108e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.433754569720e-01,-8.523291002195e-03,-8.083882527864e-02,1.648153021532e-01,1.646898219567e-01,6.671265551838e-02,-9.797716643829e-02
9269,2.397355121054e+00,1.071428571429e-01,-2.241626587737e+00,2.704972276380e-02,1.655134870223e-03,3.985642896258e-02,1.505020457036e+00,4.392857142857e-02,5.013240326283e-04,1.071428571429e-01,2.397355121054e+00,1.071428571429e-01,-2.241626587737e+00,4.753890324624e-02,1.071428571429e-01,-1.323139983083e-01,5.761094252124e-03,1.059399588255e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.593637210721e-01,-4.105959381901e-03,-6.608352986295e-02,1.725708185515e-01,1.695979340419e-01,4.819711508676e-02,-1.214008189551e-01
9270,1.809053983042e+00,3.214285714286e-01,-2.241626587737e+00,2.913124311536e-02,-9.274533968217e-03,7.122637960184e-02,1.503212606849e+00,4.500000000000e-02,4.279083364031e-04,3.214285714286e-01,1.809053983042e+00,3.214285714286e-01,-2.241626587737e+00,4.753890324624e-02,3.214285714286e-01,-1.138425995688e-01,2.825033062061e-02,1.295674326443e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.429738426842e-01,-3.752486458883e-02,-5.834105304250e-02,1.589129120758e-01,1.747739633321e-01,7.751027968572e-02,-9.726368364636e-02
9271,2.397355121054e+00,3.214285714286e-01,-2.241626587737e+00,6.517032371263e-03,-2.433568023090e-03,5.535849649091e-02,1.505043898621e+00,4.500000000000e-02,3.802509558418e-04,3.214285714286e-01,2.397355121054e+00,3.214285714286e-01,-2.241626587737e+00,4.753890324624e-02,3.214285714286e-01,-1.312549038805e-01,8.785674445864e-03,9.961292922914e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.377719362518e-01,-1.121924246895e-02,-4.425443273823e-02,1.451393559209e-01,1.650084044458e-01,5.579388047076e-02,-1.092145239751e-01
9272,1.809053983042e+00,5.357142857143e-01,-2.241626587737e+00,-2.487435716815e-02,-1.074780883515e-02,7.268961442538e-02,1.503358419236e+00,4.500000000000e-02,3.808732756376e-04,5.357142857143e-01,1.809053983042e+00,5.357142857143e-01,-2.241626587737e+00,4.753890324624e-02,5.357142857143e-01,-1.161459160432e-01,4.070553738009e-02,1.162547086524e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.127155887509e-02,-5.145334621524e-02,-4.356509422699e-02,1.134718543571e-01,1.692984697827e-01,7.757595687193e-02,-9.172251291080e-02
