seed,gen,rank,fitness,expr
1,8,7,1.417044189154e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,8,8,1.477500042601e-03,"add(neg(sub(yw, 0.10067908118705848)), add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,8,9,1.734984672099e-03,"protected_tanh(yw)"
1,9,0,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,9,1,1.372116886462e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(-0.4802586126019154, yw))"
1,9,2,1.372116886791e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(neg(-0.14978724491000783)), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,9,3,1.372116886801e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(-0.4991552820511105, yw))"
1,9,4,1.372116915551e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,9,5,1.372116965130e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,9,6,1.372116984581e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,9,7,1.408770052698e-03,"add(add(neg(protected_tanh(yw)), -0.40951156130425237), sub(protected_tanh(-0.41058518749939865), yw))"
1,9,8,1.417772729100e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), yw), yw))"
1,9,9,1.459144551089e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(neg(-0.14978724491000783)), mul(0.43312382520432013, yw)), yw))"
1,10,0,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,10,1,1.372116886462e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,10,2,1.372116886791e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,10,3,1.372116891440e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,10,4,1.372116915551e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(-0.4802586126019154, yw))"
1,10,5,1.372116916951e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,10,6,1.372116917854e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), -0.05018608735580543)"
1,10,7,1.372116965130e-03,"add(add(add(-0.41058518749939865, protected_tanh(-0.2880929823838405)), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,10,8,1.372116984581e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,10,9,1.485423755050e-03,"add(add(-0.10220268693512724, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(yw, -0.10220268693512724)), yw))"
1,11,0,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
