x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
3.750000000010e-02,7.625000000001e-01,-8.959890000000e-04,-1.156120000000e-02,3.750000000010e-02,1.259192937771e-05,-1.994116395737e-03,-1.215578141966e-02,1.578552549747e-03
3.750000000010e-02,8.375000000001e-01,-2.102900000000e-03,-9.547180000000e-03,3.750000000010e-02,1.613499292324e-05,-3.508505185735e-03,-6.648869403233e-03,3.172503255049e-03
3.750000000010e-02,8.625000000001e-01,-2.856300000000e-03,-8.451650000000e-03,3.750000000010e-02,1.578603161452e-05,-3.737409400290e-03,-4.511062173454e-03,2.604767965318e-03
3.750000000010e-02,8.875000000001e-01,-3.963320000000e-03,-7.081340000000e-03,3.750000000010e-02,1.467424339006e-05,-3.525277761422e-03,-2.447531842965e-03,3.238397016899e-04
3.750000000010e-02,9.375000000001e-01,-3.227080000000e-03,-2.868020000000e-03,3.750000000010e-02,7.826749926608e-06,-3.873269454151e-04,1.237922679867e-03,1.421833992685e-03
3.750000000010e-02,9.625000000000e-01,-1.797620000000e-04,-6.132230000000e-04,3.749999999998e-02,2.332503025210e-06,1.463674209713e-03,1.895188016020e-03,2.107531790437e-04
3.750000000010e-02,9.875000000000e-01,2.352840000000e-03,-4.479930000000e-05,1.250000000000e-02,3.491292454497e-06,2.536251665662e-03,7.550612239698e-04,2.007639222348e-04
3.750000000010e-02,7.125000000000e-01,-4.060450000000e-04,-1.222170000000e-02,3.750000000010e-02,1.018676425257e-05,-8.408495577061e-04,-1.431537683551e-02,3.399768838093e-03
3.750000000010e-02,7.875000000001e-01,-1.240910000000e-03,-1.098800000000e-02,3.750000000010e-02,1.407991704185e-05,-2.561250666978e-03,-1.058016441216e-02,2.159649543801e-03
3.750000000010e-02,8.125000000001e-01,-1.638300000000e-03,-1.030900000000e-02,3.750000000010e-02,1.540037082811e-05,-3.081953283977e-03,-8.716767667061e-03,5.308541723947e-04
