elvol_aux_var,id,x,y,yw_aux_var,z
0.0016,350,-5.42,0.02,0.02,0
0.0016,351,-5.42,0.06,0.06,0
0.0016,352,-5.42,0.1,0.1,0
0.0016,353,-5.42,0.14,0.14,0
0.0016,354,-5.42,0.18,0.18,0
0.0016,355,-5.42,0.22,0.22,0
0.0016,356,-5.42,0.26,0.26,0
0.0016,358,-5.42,0.34,0.34,0
0.0016,359,-5.42,0.38,0.38,0
0.0016,360,-5.42,0.42,0.42,0
0.0016,361,-5.42,0.46,0.46,0
0.0016,362,-5.42,0.5,0.5,0
0.0016,363,-5.42,0.54,0.46,0
0.0016,364,-5.42,0.58,0.42,0
0.0016,365,-5.42,0.62,0.38,0
0.0016,366,-5.42,0.66,0.34,0
0.0016,367,-5.42,0.7,0.3,0
0.0016,368,-5.42,0.74,0.26,0
0.0016,369,-5.42,0.78,0.22,0
0.0016,370,-5.42,0.82,0.18,0
0.0016,371,-5.42,0.86,0.14,0
0.0016,372,-5.42,0.9,0.1,0
0.0016,373,-5.42,0.94,0.06,0
0.0016,374,-5.42,0.98,0.02,0
0.0016,357,-5.42,0.3,0.3,0
0.0016,375,-5.38,0.02,0.02,0
0.0016,384,-5.38,0.38,0.38,0
0.0016,386,-5.38,0.46,0.46,0
0.0016,387,-5.38,0.5,0.5,0
0.0016,388,-5.38,0.54,0.46,0
0.0016,390,-5.38,0.62,0.38,0
0.0016,391,-5.38,0.66,0.34,0
0.0016,392,-5.38,0.7,0.3,0
0.0016,393,-5.38,0.74,0.26,0
0.0016,394,-5.38,0.78,0.22,0
0.0016,395,-5.38,0.82,0.18,0
0.0016,396,-5.38,0.86,0.14,0
0.0016,397,-5.38,0.9,0.1,0
0.0016,398,-5.38,0.94,0.06,0
0.0016,399,-5.38,0.98,0.02,0
0.0016,376,-5.38,0.06,0.06,0
0.0016,377,-5.38,0.1,0.1,0
0.0016,378,-5.38,0.14,0.14,0
0.0016,379,-5.38,0.18,0.18,0
0.0016,380,-5.38,0.22,0.22,0
0.0016,381,-5.38,0.26,0.26,0
