dudx_aux_var,dudy_aux_var,dvdx_aux_var,dvdy_aux_var,eddy_viscosity_aux_var,id,mixing_length_aux_var,omega_mag_aux_var,omega_over_s_aux_var,pressure,strain_mag_aux_var,u,v,x,y,yw_aux_var,z
2.1195192666372,322.48876081965,-0.072274966109736,-2.2842465783517,0.021681309466087,25,0.0082,322.56103578576,1.0003548946229,-39.365110823859,322.4466012208,11.031653683915,-0.12398666750118,-5.94,0.02,0.02,0
-1.5106519733315,64.727733106311,-0.26020445706395,1.4164172414775,0.039053403450696,26,0.0246,64.987937563375,1.0070338772267,-39.014713351082,64.534013237319,14.767447181656,-0.058753058766952,-5.94,0.06,0.06,0
-0.28927670409302,29.516698887969,-0.22442343055672,0.53387300658607,0.049261469219763,27,0.041,29.741122318526,1.0148870386794,-38.979213578221,29.30485973811,16.20987233242,-0.010673288182983,-5.94,0.1,0.1,0
0.095592024490914,20.589024480678,-0.23093216359522,-0.15302543375562,0.067080296685324,28,0.0574,20.819956644273,1.0226066929172,-38.78295373068,20.359691353945,17.128783092694,-0.016043218240068,-5.94,0.14,0.14,0
-0.051342038339675,14.224445733575,-0.21501100905442,0.055623695242006,0.11347973420211,30,0.09,14.43945674263,1.0306650825158,-38.361718415613,14.009843728656,18.464670405897,-0.024323746991491,-5.94,0.22,0.22,0
-0.1709297088779,12.488349899153,-0.18342863491584,0.1721242254955,0.099708589956964,31,0.09,12.671778534069,1.0294138766806,-38.148496289878,12.309702463823,18.994949949561,-0.018465427264071,-5.94,0.26,0.26,0
-0.14797499144355,10.868430326306,-0.1332762197549,0.16614932567743,0.08699209115615,32,0.09,11.001706546061,1.0243899398065,-38.017636476711,10.739764340265,19.463738397829,-0.010553808951852,-5.94,0.3,0.3,0
-0.079060553385481,7.3024932540546,-0.039260802445078,0.085522184696025,0.058847308253182,34,0.09,7.3417540564997,1.010551028125,-37.899926431927,7.2650997843435,20.195631961785,-0.001377360199696,-5.94,0.38,0.38,0
0.0095408874783293,2.7410014414978,0.0063525243073968,-0.01994171066637,0.022255007907431,36,0.09,2.7346489171904,0.99531109228846,-37.907562491147,2.7475318404236,20.609969994283,0.0030340023007584,-5.94,0.46,0.46,0
0.084363886980673,-0.046702615910434,8.2032020775376e-05,-0.074280054922308,0.0013418417757722,37,0.09,0.046784647931209,0.28241455519032,-37.92588937662,0.1656594784904,20.667903951309,7.2956712495679e-05,-5.94,0.5,0.5,0
-0.048733692088048,-5.1649214423966,0.0099089779384684,0.051767805540972,0.041763542867617,39,0.09,5.1748304203351,1.0036535103732,-37.894836733538,5.1559929466194,20.444664289323,-0.0016221955281247,-5.94,0.58,0.42,0
2.1834251615533,322.90098070317,0.34460422895276,-2.1836822307938,0.021737016634635,50,0.0082,322.55637647422,0.99777679332355,-38.926806655758,323.27508379885,11.121111204647,-0.11201035168918,-5.9,0.02,0.02,0
-1.232456551928,63.420949883906,-0.049461335839326,1.1557671800902,0.038377141461446,51,0.0246,63.470411219746,1.0008497921172,-38.953526851761,63.416520360642,14.710967251607,-0.06268422677432,-5.9,0.06,0.06,0
0.062778217459135,20.833161030878,-0.17960140891098,-0.13254342131937,0.0680519532159,53,0.0574,21.012762439789,1.0173405156568,-38.731348465098,20.65460100763,17.131907255429,-0.024504309557469,-5.9,0.14,0.14,0
0.097275547714799,16.629387294773,-0.14959537686149,-0.080845835524812,0.089761485141388,54,0.0738,16.778982671635,1.0180950352832,-38.582839599433,16.480762689277,17.86144007783,-0.03015245098752,-5.9,0.18,0.18,0
-0.065787105592783,14.072957381003,-0.13635070810919,0.069728802743537,0.11289185520983,55,0.09,14.209308089113,1.0195190371164,-38.436891060825,13.937266075287,18.462258239011,-0.030971976399454,-5.9,0.22,0.22,0
-0.19752379885142,12.427912426874,-0.13054773670341,0.19306999650943,0.099658892946519,56,0.09,12.558460163578,1.0207170109702,-38.299802486209,12.303567030434,18.98727666831,-0.024574146768038,-5.9,0.26,0.26,0
-0.19832821356743,10.898114238019,-0.11249083446251,0.20129221262672,0.087423498305931,57,0.09,11.010605072481,1.0201593715112,-38.194748519632,10.793024482214,19.456491233161,-0.0155263766787,-5.9,0.3,0.3,0
-0.15280299709791,9.1892784747414,-0.07835383299477,0.15383765853048,0.073840275910538,58,0.09,9.2676323077361,1.0166243390478,-38.117892449388,9.1160834457454,19.859125807351,-0.0084707697578998,-5.9,0.34,0.34,0
-0.11574282149325,7.3374567242257,-0.046572485761777,0.1158768783268,0.059085955481365,59,0.09,7.3840292099875,1.0122648624977,-38.070840382579,7.2945624051068,20.19163351114,-0.0032193639962614,-5.9,0.38,0.38,0
-0.072659297456549,5.2333985912877,-0.024763849715012,0.076114627419827,0.042207157331833,60,0.09,5.2581624410027,1.0090969983423,-38.048719623888,5.2107601644238,20.446122345289,0.00079938050824423,-5.9,0.42,0.42,0
0.0025293744351785,2.8172484520204,-0.0076156727110603,-0.0091922913357654,0.022758287558393,61,0.09,2.8248641247314,1.0054095393429,-38.040276838036,2.8096651306658,20.610305398443,0.0028698061973248,-5.9,0.46,0.46,0
0.086388979001,-0.045822555326537,-0.00038241234730763,-0.070508046291297,0.0013310589693992,62,0.09,0.045440142979229,0.27652054987139,-38.046348376894,0.16432826782706,20.671502221451,6.3997201382985e-05,-5.9,0.5,0.5,0
0.0046021012631293,-2.8651595667683,0.0066163892736828,-0.010964661678206,0.023154600415768,63,0.09,2.871775956042,1.0046118190876,-38.040147074722,2.858592643922,20.606639594017,-0.002770837505979,-5.9,0.54,0.46,0
-0.068928671191072,-5.216951295457,0.023002461150533,0.071796221481949,0.042086430980148,64,0.09,5.2399537566076,1.0084871641535,-38.047754435862,5.1958556765615,20.44228945611,-0.00081317573287348,-5.9,0.58,0.42,0
-0.1092573839466,-7.2782206502888,0.043978393432206,0.11017647026754,0.05862431341146,65,0.09,7.322199043721,1.0116930809553,-38.068891685236,7.2375695569704,20.189283490381,0.002972860212577,-5.9,0.62,0.38,0
