id,x,y,z,volume,yw,U,V,W
        2018,  1.785297568199500E+00,  3.214285714285000E-01,  3.883133706471600E+00,  2.491499695032200E-02,  3.214285714285000E-01, -1.232796912983505E-02, -4.531145801121041E-02, -1.379698997662771E-01
        2019,  1.910647044184100E+00,  3.214285714285000E-01,  4.067912290209900E+00,  2.366118632824800E-02,  3.214285714285000E-01,  9.633343678174225E-04, -7.825785229689200E-02, -1.377279517832813E-01
        2020,  1.785297569708200E+00,  5.357142857141700E-01,  3.883133709084700E+00,  2.491499762759100E-02,  5.357142857141700E-01, -3.596570139411392E-02, -4.486394889908470E-02, -1.230244370648578E-01
        2021,  1.910647045692800E+00,  5.357142857141700E-01,  4.067912292823100E+00,  2.366118567885300E-02,  5.357142857141700E-01, -2.682467032261600E-02, -8.695589812312481E-02, -1.186412189167489E-01
        2022,  1.785297568200200E+00,  7.499999999999299E-01,  3.883133706472800E+00,  2.491499695066700E-02,  7.499999999999299E-01, -3.619916150846871E-02, -3.908856559211053E-02, -9.007314618202895E-02
        2023,  1.910647044184900E+00,  7.499999999999299E-01,  4.067912290211200E+00,  2.366118632795900E-02,  7.499999999999299E-01, -2.868899112112562E-02, -8.695981354621257E-02, -9.095984854077381E-02
        2024,  1.786274783344300E+00,  1.031236029574000E+00,  3.883887986754800E+00,  4.067471193794500E-02,  1.031236768443700E+00, -2.517647634832770E-02, -3.796623277786934E-02, -3.653384584408698E-02
        2025,  1.910632523028700E+00,  1.009772707081400E+00,  4.069082498930000E+00,  3.365252085042700E-02,  8.646750404983800E-01, -1.692314273100100E-02, -8.769776440832318E-02, -4.632895474721717E-02
        2026,  1.788204793982200E+00,  1.375070045334200E+00,  3.885377687633800E+00,  4.002045682775600E-02,  9.470256514871200E-01, -1.452118638798215E-03, -4.203123995115752E-02,  7.492708595925148E-03
        2027,  1.910603854472400E+00,  1.311216660893000E+00,  4.071393658472000E+00,  3.270063195404800E-02,  7.984634833973300E-01,  1.510678643647499E-03, -8.841365539321630E-02, -1.472570702113580E-03
        2028,  1.790086569355400E+00,  1.710308210853100E+00,  3.886830130504500E+00,  3.935797458860200E-02,  8.396877968735500E-01,  1.806140693738386E-02, -4.135057133499336E-02,  5.327521926126022E-02
        2029,  1.910575917630400E+00,  1.605124515993300E+00,  4.073647023539700E+00,  3.176957130831000E-02,  6.488537710646100E-01,  2.186858902830960E-02, -9.270522274399540E-02,  3.603972280191604E-02
        2030,  1.791921317389600E+00,  2.037165421984200E+00,  3.888246252407300E+00,  3.868917524791800E-02,  6.598965070224200E-01,  3.180976414545164E-02, -5.174533124911174E-02,  7.036093135920461E-02
        2031,  1.910548696256100E+00,  1.891684674496900E+00,  4.075844044583900E+00,  3.085957946285400E-02,  5.661359737419100E-01,  4.287578303370420E-02, -1.092271054279583E-01,  5.970190173649066E-02
        2032,  1.793710212917900E+00,  2.355851202596900E+00,  3.889626961840200E+00,  3.801579930033400E-02,  4.845561674069400E-01,  4.848447593844292E-02, -7.948847186364684E-02,  7.118972453245113E-02
        2033,  1.910522171612600E+00,  2.171080828827500E+00,  4.077986130679100E+00,  2.997081016321800E-02,  4.277466825404600E-01,  6.596698823951548E-02, -1.436135830877829E-01,  7.282853573467271E-02
        2034,  1.795454401447400E+00,  2.666569838787200E+00,  3.890973144568100E+00,  3.733943239556100E-02,  2.833667799877400E-01,  1.002438107897508E-01, -1.587713928319120E-01,  9.855867824470850E-02
        2035,  1.910496325473900E+00,  2.443492079381300E+00,  4.080074655652900E+00,  2.910333788560500E-02,  2.771620820409700E-01,  1.040052918505351E-01, -2.058463421831104E-01,  1.040797842734031E-01
        2036,  1.797155000625800E+00,  2.969520508127900E+00,  3.892285665214400E+00,  3.666151753804100E-02,  1.495616847533100E-01,  1.737887645918073E-01, -2.412135376179253E-01,  1.314509476062174E-01
        2037,  1.910471140850500E+00,  2.709093047715800E+00,  4.082110959989200E+00,  2.825716635195900E-02,  1.311233189249200E-01,  1.383060951305710E-01, -2.298237133960352E-01,  1.126299124862695E-01
        2038,  1.195783444514100E+00,  1.044802163426700E+00,  3.909491734126700E+00,  9.995834147330600E-02,  1.044805839607300E+00, -2.693683598599595E-02, -3.312694712643104E-03, -2.644203188976689E-02
        2039,  1.499411564739200E+00,  9.953731933579000E-01,  4.340525498952200E+00,  7.121117359445300E-02,  7.838292879552901E-01, -3.578991028844721E-03, -1.057803630789043E-01, -3.734948127063915E-02
        2040,  1.199510503847300E+00,  1.415429293562000E+00,  3.913500816993100E+00,  9.958757599696200E-02,  1.119046493388000E+00, -6.012606168120074E-03, -7.824557045804727E-03,  2.012568259403703E-02
        2041,  1.501179944878200E+00,  1.268378107548200E+00,  4.345356040481800E+00,  6.819861930224400E-02,  7.300982690214900E-01,  9.930467601484907E-03, -1.090617196812429E-01,  1.812124989992200E-03
        2042,  1.203144391699000E+00,  1.776790745608600E+00,  3.917409667627400E+00,  9.912838901371400E-02,  1.006669867401400E+00,  1.087901473756511E-02, -1.745315578258426E-02,  4.985814663015595E-02
        2043,  1.502904120514700E+00,  1.534557899005100E+00,  4.350065813313000E+00,  6.532650931552400E-02,  5.865198079017701E-01,  2.512785014422390E-02, -1.233065772402689E-01,  3.502863285262933E-02
        2044,  1.206687438033900E+00,  2.129118161084700E+00,  3.921220793694500E+00,  9.858727484811600E-02,  7.536224762419500E-01,  1.885917421756794E-02, -1.952856956790784E-02,  7.081909892470903E-02
        2045,  1.504585197441200E+00,  1.794083195477000E+00,  4.354657838521500E+00,  6.258780252645900E-02,  5.067666190731400E-01,  4.072335994196412E-02, -1.425068938510491E-01,  6.039957661334921E-02
        2046,  1.210141913606700E+00,  2.472637390915000E+00,  3.924936638466800E+00,  9.797039298673800E-02,  5.661580168407800E-01,  2.226382021821966E-02, -3.757457424241564E-02,  7.564822072685137E-02
        2047,  1.506224252842100E+00,  2.047120359346600E+00,  4.359135059956000E+00,  5.997583180798900E-02,  4.416287307011600E-01,  5.586779971468170E-02, -1.713717706220347E-01,  8.839678584342438E-02
        2048,  1.213510032420700E+00,  2.807568640099800E+00,  3.928559584130900E+00,  9.728358241646200E-02,  4.878233253635700E-01,  5.159821615435661E-02, -1.017143106018315E-01,  1.127823582733360E-01
        2049,  1.507822336988000E+00,  2.293831594193200E+00,  4.363500347866100E+00,  5.748428239801500E-02,  3.593565282037000E-01,  7.918675196259303E-02, -2.204907755626998E-01,  1.170512829676039E-01
        2050,  1.216793953385900E+00,  3.134126607804100E+00,  3.932091953649900E+00,  9.653237522980500E-02,  1.612297429978900E-01,  1.258317948149279E-01, -2.521630669143806E-01,  2.032408199406611E-01
        2051,  1.509380474151300E+00,  2.534375047893300E+00,  4.367756501075100E+00,  5.510717231622600E-02,  1.187703778343700E-01,  9.067410954171261E-02, -2.363344063027005E-01,  1.321422040338646E-01
        2052, -1.033569108969000E-01,  1.071428571428600E-01,  4.472404529944500E+00,  7.878135780173000E-04,  2.248024832058400E-01,  1.890813695022565E-01, -3.407991185129924E-01, -2.525921568852083E-01
        2053, -6.619833537833200E-02,  1.071428571428600E-01,  4.459055478235500E+00,  5.153839513021000E-04,  2.554294887834700E-01,  1.406685768014829E-01, -4.155127783728440E-01, -2.369663509458687E-01
