RE,CG,np,status,run_mode,baseline_mse,candidate_mse,normalized_mse,L_outer,h_wall,eta_h,eta_y_min,eta_y_max,raw_min,raw_max,C_eff_min,C_eff_max,lm_min,lm_max,steady_elapsed,unsteady_elapsed,candidate_folder,candidate_vpp,baseline_vpp
5963,3,8,ok,steady,0.002628049149469708,0.0009401597007802973,0.35774053197216815,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,45.85803484916687,0.0,/homes/aiskhak/projects/GP/runs/5963/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/5963/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/5963/3/tamu_2d_fv_csv_vpp_0035.csv
5963,4,12,ok,steady,0.002846593276406961,0.0010130058020631143,0.35586601375724275,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,142.1164870262146,0.0,/homes/aiskhak/projects/GP/runs/5963/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/5963/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/5963/4/tamu_2d_fv_csv_vpp_0036.csv
7912,1,4,ok,steady,0.007557140212004543,0.0015661609232182645,0.20724253874903797,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,10.117975950241089,0.0,/homes/aiskhak/projects/GP/runs/7912/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/7912/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/7912/1/tamu_2d_fv_csv_vpp_0030.csv
7912,2,4,ok,steady,0.004283789054664598,0.0009525985173846043,0.22237288186432153,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,21.843984127044678,0.0,/homes/aiskhak/projects/GP/runs/7912/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/7912/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/7912/2/tamu_2d_fv_csv_vpp_0033.csv
7912,3,8,ok,steady,0.002467821406221998,0.0009119056820603723,0.36951850719879037,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,54.676596879959106,0.0,/homes/aiskhak/projects/GP/runs/7912/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/7912/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/7912/3/tamu_2d_fv_csv_vpp_0037.csv
7912,4,12,ok,steady,0.002730734009625922,0.0010580489811228095,0.3874595538756811,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,165.3144519329071,0.0,/homes/aiskhak/projects/GP/runs/7912/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/7912/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/7912/4/tamu_2d_fv_csv_vpp_0038.csv
9000,1,4,ok,steady,0.0072417556592439996,0.0015366076008620096,0.21218716471061153,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,8.465081214904785,0.0,/homes/aiskhak/projects/GP/runs/9000/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/9000/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/9000/1/tamu_2d_fv_csv_vpp_0030.csv
9000,2,4,ok,steady,0.0039265728421645375,0.0008603880215125486,0.2191193328374004,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,18.006178379058838,0.0,/homes/aiskhak/projects/GP/runs/9000/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/9000/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/9000/2/tamu_2d_fv_csv_vpp_0033.csv
9000,3,8,ok,steady,0.002082884618581576,0.0007858464896308855,0.3772875763833905,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,51.2182412147522,0.0,/homes/aiskhak/projects/GP/runs/9000/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/9000/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/9000/3/tamu_2d_fv_csv_vpp_0038.csv
9000,4,12,ok,steady,0.0023004596962687045,0.0008990145803620085,0.3907977965535282,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,168.25465512275696,0.0,/homes/aiskhak/projects/GP/runs/9000/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/9000/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/9000/4/tamu_2d_fv_csv_vpp_0039.csv
10622,1,4,ok,steady,0.006962481823878552,0.0012125335850308597,0.1741524955759813,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,10.336035966873169,0.0,/homes/aiskhak/projects/GP/runs/10622/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/10622/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/10622/1/tamu_2d_fv_csv_vpp_0030.csv
10622,2,4,ok,steady,0.0037155223518934516,0.0006839780819070035,0.18408665515319653,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,20.79892873764038,0.0,/homes/aiskhak/projects/GP/runs/10622/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/10622/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/10622/2/tamu_2d_fv_csv_vpp_0033.csv
10622,3,8,ok,steady,0.0019884783733008964,0.0007970310792571889,0.40082461542395775,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,55.00324058532715,0.0,/homes/aiskhak/projects/GP/runs/10622/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/10622/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/10622/3/tamu_2d_fv_csv_vpp_0038.csv
10622,4,12,ok,steady,0.0022884703532341055,0.0010577771246840103,0.46222015644167797,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,160.38803887367249,0.0,/homes/aiskhak/projects/GP/runs/10622/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/10622/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/10622/4/tamu_2d_fv_csv_vpp_0040.csv
12819,1,4,ok,steady,0.006314340253344218,0.0011195883177926725,0.17730883558257937,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,9.6156485080719,0.0,/homes/aiskhak/projects/GP/runs/12819/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/12819/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/12819/1/tamu_2d_fv_csv_vpp_0031.csv
12819,2,4,ok,steady,0.0031365356949673603,0.0006237000024081141,0.19884996157029372,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,24.54905867576599,0.0,/homes/aiskhak/projects/GP/runs/12819/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/12819/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/12819/2/tamu_2d_fv_csv_vpp_0033.csv
12819,3,8,ok,steady,0.0016271849710948196,0.0008101470827564226,0.4978825991806764,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,60.326844453811646,0.0,/homes/aiskhak/projects/GP/runs/12819/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/12819/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/12819/3/tamu_2d_fv_csv_vpp_0040.csv
12819,4,12,ok,steady,0.0018655648747029317,0.0010972270717339193,0.588147368452485,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,178.2807583808899,0.0,/homes/aiskhak/projects/GP/runs/12819/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/12819/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/12819/4/tamu_2d_fv_csv_vpp_0050.csv
14000,1,4,ok,steady,0.006793782047853151,0.001344119971500222,0.19784561265473136,5.13475416321,0.116931339689555,0.022772529311599055,0.019148931740851236,1.0,-4.945049782242759,-0.2369646545988449,0.020506224652456658,0.204234706719745,0.02008138917497334,0.10529442240592136,11.935181379318237,0.0,/homes/aiskhak/projects/GP/runs/14000/1/cand_wall_grid,/homes/aiskhak/projects/GP/runs/14000/1/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/14000/1/tamu_2d_fv_csv_vpp_0030.csv
14000,2,4,ok,steady,0.0034178888382137844,0.0007180368111049194,0.2100819672883718,5.162529156024,0.0584095686108465,0.011314138253861508,0.009604984814158304,1.0,-4.932445552079248,-0.1785494791872075,0.020506383577344408,0.24150331702223718,0.011975186894233367,0.10586480310265224,24.27710270881653,0.0,/homes/aiskhak/projects/GP/runs/14000/2/cand_wall_grid,/homes/aiskhak/projects/GP/runs/14000/2/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/14000/2/tamu_2d_fv_csv_vpp_0034.csv
14000,3,8,ok,steady,0.0016908500932922873,0.0008185950512995829,0.4841322448081015,5.165356380906,0.029205986724518497,0.005654205551523976,0.0048200156721002595,1.0,-4.926219626106676,-0.1493557013327576,0.020506463570046218,0.2629660671110099,0.006547092129704218,0.10592319245135466,70.60444855690002,0.0,/homes/aiskhak/projects/GP/runs/14000/3/cand_wall_grid,/homes/aiskhak/projects/GP/runs/14000/3/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/14000/3/tamu_2d_fv_csv_vpp_0040.csv
14000,4,12,ok,steady,0.0018840424789234997,0.001049429612943291,0.5570095285446599,5.177364498584,0.0146032648262495,0.0028205981692506813,0.0024094014040737743,1.0,-4.923102657986176,-0.13466778472572985,0.020506503993655528,0.2745544906188754,0.0034248886157466096,0.10616964576682314,177.3322958946228,0.0,/homes/aiskhak/projects/GP/runs/14000/4/cand_wall_grid,/homes/aiskhak/projects/GP/runs/14000/4/cand_wall_grid/tamu_2d_fv_gp_csv_vpp_0002.csv,/homes/aiskhak/projects/GP/1_mixing_length/14000/4/tamu_2d_fv_csv_vpp_0051.csv
