id,mixing_length_aux_var,mu_eff_out,mu_t_out,pressure,u,v,x,y,z
36,0.045,0.0078702927551191,0.0045369597551191,0.27738983855165,-0.3079723971293,0.19160506825655,-10.103808598582,0.2813031534298,0
37,0.045,0.0076470469839281,0.0043137139839281,0.2598613351178,-0.28301794933704,0.22726454342563,-10.10203390838,0.34379985891906,0
38,0.045,0.0074200561322012,0.0040867231322012,0.24083043667805,-0.25733292754023,0.25980310190493,-10.099976768943,0.40628750131751,0
4680,0.010243604550261,0.0036569363772907,0.00032360337729071,0.012063870418599,0.018790944918866,0.088895271426308,-10.097821192804,2.1104905750017,0
39,0.045,0.0071922352078685,0.0038589022078685,0.22106607913689,-0.23157877610824,0.28930011115653,-10.097637237936,0.46876443340757,0
4734,0.030865435745152,0.0055639410195571,0.0022306080195571,0.017985315659234,0.049024468701442,0.25759317265447,-10.096777334523,1.8462697927374,0
3264,0.045,0.0069756301169264,0.0036422971169264,0.20085274258697,-0.20659459495072,0.3151279365652,-10.094649244226,0.53128187782382,0
3265,0.045,0.0067669924531246,0.0034336594531246,0.18096220189911,-0.18223354737376,0.33777807170365,-10.091012247429,0.593838153928,0
4841,0.045,0.0049458361697744,0.0016125031697744,0.05661290867503,0.023250787071686,0.46777099703984,-10.09026255048,1.1939372387999,0
4788,0.045,0.0060295126248801,0.0026961796248801,0.027665053212226,0.061751338172409,0.39221804719825,-10.089056468872,1.583722878844,0
3266,0.045,0.0065759805719615,0.0032426475719615,0.16185224079148,-0.15867568751845,0.35746560911111,-10.087091855469,0.65637870683578,0
3267,0.045,0.0064038111075885,0.0030704781075885,0.14381730068501,-0.13612429457177,0.37439133575567,-10.082888165075,0.71890188060524,0
3268,0.045,0.0062503828346434,0.0029170498346434,0.12703532006578,-0.11472240069371,0.38878838067705,-10.078401282659,0.78140601975576,0
4842,0.045,0.0046271002925392,0.0012937672925392,0.043061955312408,0.040370383649508,0.45945825007714,-10.074748789172,1.3230186764529,0
3269,0.045,0.0061137244549516,0.0027803914549516,0.11159875947706,-0.094538621519578,0.40089342335779,-10.073631324305,0.84388946948777,0
4735,0.030860797462062,0.005428273699337,0.002094940699337,0.014526527282324,0.047795832022281,0.23362585096742,-10.073187771406,1.9755490628482,0
4681,0.010242115636663,0.0036252603053052,0.00029192730530517,0.010057183652231,0.017652978739751,0.078956808834801,-10.070951524611,2.2398448902349,0
4789,0.045,0.0060959066636234,0.0027625736636234,0.021621327675184,0.064051930704497,0.36406461484491,-10.068722821673,1.7128437553985,0
3270,0.045,0.0059882935136916,0.0026549605136916,0.097532247802884,-0.075489014591604,0.41093188268361,-10.068578415789,0.90635057540195,0
3271,0.045,0.0058457291534626,0.0025123961534626,0.08485652748666,-0.057072941029832,0.41918067912178,-10.063242692567,0.96878768379628,0
40,0.045,0.0078827447179851,0.0045494117179851,0.29238318108484,-0.44724951952997,0.021216739418179,-10.058046393703,0.031258094642293,0
4843,0.045,0.0044539206746621,0.0011205876746621,0.032896135012728,0.053536880013335,0.44562990014455,-10.057644750665,1.4518990606825,0
41,0.045,0.0077866360280449,0.0044533030280449,0.28916899020374,-0.43650519722787,0.060625239662094,-10.057339691046,0.093773513089149,0
42,0.045,0.0076704443353898,0.0043371113353898,0.28187276776966,-0.41820923019631,0.098786191438078,-10.056368635821,0.15628661836108,0
43,0.045,0.0075176029186277,0.0041842699186277,0.2707150616764,-0.39508512374758,0.13530955759643,-10.055133246005,0.21879586927552,0
4896,0.045,0.0056525126597765,0.0023191796597765,0.067575638052277,-0.026023751656764,0.42872212515349,-10.053948752953,1.0643223970898,0
44,0.045,0.0073356330788993,0.0040023000788993,0.25651642801239,-0.36890610489448,0.16956442376228,-10.053633548564,0.28129972475695,0
45,0.045,0.0071377973323815,0.0038044643323815,0.2401184786906,-0.34090845640573,0.201194878883,-10.051869579469,0.34379664292431,0
46,0.045,0.0069364401085406,0.0036031071085406,0.22231663335647,-0.31202066350956,0.23005499608134,-10.049841383671,0.4062850827164,0
4736,0.03085625315994,0.005291633499701,0.001958300499701,0.011950294942467,0.046226633039153,0.21157981383996,-10.048004067893,2.1045272830115,0
47,0.045,0.0067333554768145,0.0034000224768145,0.20383575846513,-0.28300974699835,0.25626024477515,-10.047549015112,0.46876350318774,0
4790,0.045,0.0061029701474617,0.0027696371474617,0.017186440411973,0.064918118650765,0.33631466248483,-10.046797753486,1.8417039685326,0
3272,0.045,0.0065426797851331,0.0032093467851331,0.18485275742321,-0.25485856799886,0.27900242566283,-10.044545830783,0.5312798222868,0
4682,0.010240658190916,0.0035968616288912,0.00026352862889115,0.008535604095577,0.016569060333388,0.070254800748588,-10.042486037209,2.3688574284191,0
3273,0.045,0.0063611358341451,0.0030278028341451,0.16617254638345,-0.2274231114056,0.29887281498716,-10.04083132516,0.59383246780362,0
4897,0.045,0.005442570550122,0.002109237550122,0.051119427101681,1.1864444630039e-05,0.43124390719834,-10.040045947404,1.1928814927188,0
4844,0.045,0.0044630221127823,0.0011296891127823,0.025393053019273,0.063035058153859,0.42713369780033,-10.038953034332,1.5805587998439,0
3274,0.045,0.0061999655346503,0.0028666325346503,0.14824009615957,-0.20092873640324,0.31608773104953,-10.036851707934,0.6563704045238,0
3275,0.045,0.0060612084264451,0.0027278754264451,0.13133440502526,-0.17561425763922,0.330844890097,-10.032607069592,0.7188920833404,0
3276,0.045,0.0059454206301641,0.0026120876301641,0.11562450731868,-0.15164451855832,0.34337497924816,-10.028097509682,0.78139595557798,0
4898,0.045,0.005192249249725,0.001858916249725,0.038600707444898,0.021502605896106,0.42917672178726,-10.024560213269,1.3212595667288,0
3277,0.045,0.0058508248902167,0.0025174918902167,0.10119938370293,-0.12910243261499,0.35390669345618,-10.023323136796,0.84388047319824,0
4791,0.045,0.0060644388534396,0.0027311058534396,0.013921217758789,0.064741963269517,0.30959880680696,-10.023284601059,1.970283904364,0
4737,0.030851802879382,0.0051575406358806,0.0018242076358806,0.010010530457965,0.04444666057699,0.19147927428394,-10.021230061761,2.2331847966137,0
4845,0.045,0.0045931764472992,0.0012598434472992,0.019887991716584,0.069374063274028,0.4049672455997,-10.018676481047,1.7089783348704,0
3278,0.045,0.0057710007158819,0.0024376677158819,0.088086452664301,-0.1078999575921,0.3626468019992,-10.018284068599,0.9063440885373,0
3279,0.045,0.005674125255795,0.002340792255795,0.076332585451745,-0.087441111079,0.36989276389673,-10.012980431804,0.96878525458362,0
4683,0.010239232228904,0.0035714957796964,0.00023816277969642,0.0073682220466432,0.015548155959762,0.062645320267827,-10.01242907419,2.4975085029061,0
48,0.045,0.0073461867723207,0.0040128537723207,0.26844217917557,-0.50741533322468,0.018794931222794,-10.008010737273,0.031257536460069,0
4899,0.045,0.0049248547239057,0.0015915217239057,0.029279347953346,0.038937623518974,0.42322830968638,-10.007493900688,1.4494371292856,0
49,0.045,0.0072628279657657,0.0039294949657657,0.2653798188064,-0.49592483396807,0.053512046827794,-10.007241840797,0.093771891703701,0
50,0.045,0.0071652522996994,0.0038319192996994,0.25853416939303,-0.4761859677171,0.087204511135396,-10.006226822964,0.15628409330171,0
51,0.045,0.0070314340517269,0.0036981010517269,0.24815364434991,-0.45106096736588,0.11945775875351,-10.004965700511,0.21879270636,0
4952,0.045,0.0055947941167607,0.0022614611167607,0.06049879131488,-0.05297810240186,0.37850609701447,-10.003713828912,1.0639704244472,0
52,0.045,0.0068678030603457,0.0035344700603457,0.23498919167625,-0.42247036153259,0.14968713071029,-10.003458498546,0.28129629608409,0
53,0.045,0.0066866910638948,0.0033533580638948,0.21980059715476,-0.39179054139797,0.17756236094225,-10.001705250557,0.34379342692955,0
54,0.045,0.0065003080052876,0.0031669750052876,0.20331622363809,-0.36006730463523,0.20294376521836,-9.9997059983971,0.40628266411528,0
4792,0.045,0.0059943534916353,0.0026610204916353,0.01149236696868,0.063817120500509,0.28430750912997,-9.998186942981,2.0985639910213,0
55,0.045,0.0063089407283836,0.0029756077283836,0.18621436189139,-0.32816411182705,0.22597692197395,-9.9974607922881,0.4687625729679,0
4846,0.045,0.0047533301090592,0.0014199971090592,0.015846008965181,0.073176008426816,0.38071370675085,-9.9968181724497,1.8371381443278,0
3280,0.045,0.0061294071391161,0.0027960741391161,0.16858209082793,-0.29717629774905,0.24571107194318,-9.9944424173389,0.53127776674978,0
4738,0.030847446661646,0.0050284451292139,0.0016951121292139,0.0085339363358403,0.042548661494465,0.17327509439034,-9.9928698331574,2.3615019958997,0
3281,0.045,0.0059577964267031,0.0026244634267031,0.15122442010101,-0.26699518935965,0.26282946811749,-9.9906504028913,0.59382678167924,0
4953,0.045,0.0055326586221553,0.0021993256221553,0.045464262760662,-0.023523414645093,0.3818883161735,-9.9898293443288,1.1918257466377,0
4900,0.045,0.0046402817276116,0.0013069487276116,0.022476592397764,0.052770543840557,0.41395226727262,-9.9888495997914,1.5773947208437,0
3282,0.045,0.0058065207150912,0.0024731877150912,0.13457948558482,-0.2378905296362,0.27752102913224,-9.986611560399,0.65636210221183,0
3283,0.045,0.005678662623729,0.002345329623729,0.11890780613306,-0.21013671360293,0.28997386660916,-9.9823259741093,0.71888228607556,0
4684,0.010237837761416,0.0035488960187127,0.00021556301871266,0.0064595646955111,0.01459539893294,0.05599402534404,-9.9807852219132,2.6257784825269,0
3284,0.045,0.0055758014739446,0.0022424684739446,0.10436661308859,-0.18392127372084,0.3004077979492,-9.9777937367042,0.7813858914002,0
4954,0.045,0.0054277050285089,0.0020943720285089,0.034028055516417,0.00073776692797354,0.38210675030126,-9.9743716373659,1.3195004570047,0
4847,0.045,0.0048868579401991,0.0015535249401991,0.012868116522428,0.075059444702025,0.35570306952693,-9.9733814307125,1.9650187458798,0
3285,0.045,0.0054969449241707,0.0021636119241707,0.091041716225181,-0.159339912018,0.30903552239915,-9.9730149492874,0.84387147690871,0
4793,0.045,0.0059037560871935,0.0025704230871935,0.0096652919296917,0.062363648039657,0.26066515368048,-9.9715085989116,2.2265247029926,0
4901,0.045,0.0043581921051787,0.0010248591051787,0.017540962074015,0.063416770581801,0.40175142197734,-9.9686301404213,1.7051129143423,0
3286,0.045,0.0054358856996524,0.0021025526996524,0.07896566190407,-0.13630054112915,0.31604768599893,-9.967989721408,0.90633760167266,0
4739,0.030843184548031,0.0049059143636904,0.0015725813636904,0.0073956898822412,0.040604082002688,0.15687330438863,-9.9629277040146,2.489459324813,0
3287,0.045,0.0053608870124862,0.0020275540124862,0.06819452766303,-0.11414792504432,0.32175479737875,-9.9627181710416,0.96878282537095,0
56,0.045,0.0068858958869524,0.0035525628869524,0.24459182040154,-0.56052482531595,0.016661747272374,-9.957975080844,0.031256978277845,0
4955,0.045,0.0053050887934096,0.0019717557934096,0.025585796856283,0.020597339542118,0.37959690596303,-9.957343050711,1.4469751978887,0
57,0.045,0.0068141111298317,0.0034807781298317,0.24170493264505,-0.54837532921239,0.047271446186632,-9.9571439905475,0.093770270318254,0
58,0.045,0.0067331275951155,0.0033997945951155,0.23533273981039,-0.52735688119637,0.077022867467455,-9.956085010106,0.15628156824235,0
59,0.045,0.0066163670330124,0.0032830340330124,0.2257451632085,-0.50044402767484,0.10548442196172,-9.9547981550168,0.21878954344448,0
5008,0.045,0.0053433792197036,0.0020100462197036,0.053782275087514,-0.077235886126232,0.32831399889783,-9.9534789048707,1.0636184518046,0
60,0.045,0.0064690356235709,0.0031357026235709,0.21362727816203,-0.46968546907637,0.13212195441895,-9.9532834485272,0.28129286741123,0
61,0.045,0.0063021750904,0.0029688420904,0.19966288715751,-0.43658224253812,0.15663259900053,-9.9515409216457,0.3437902109348,0
62,0.045,0.006127409520448,0.002794076520448,0.1845151217868,-0.40228627217277,0.17888248603788,-9.9495706131235,0.40628024551416,0
4848,0.045,0.0049787350180284,0.0016454020180284,0.010652244675989,0.075548534054375,0.33091610802463,-9.9483698180696,2.0926006990312,0
4685,0.010236474801068,0.003528784959035,0.00019545195903504,0.0057411277994201,0.013711174363122,0.050176048307265,-9.9475593090114,2.7536477937937,0
63,0.045,0.0059432559603899,0.0026099229603899,0.16881577455688,-0.36774582380121,0.19904250431666,-9.9473725694637,0.46876164274806,0
4902,0.045,0.0041283958542849,0.0007950628542849,0.013961261441448,0.071277788208391,0.38694136567849,-9.9468385914131,1.832572320123,0
3288,0.045,0.0057695416121093,0.0024362086121093,0.15257750076323,-0.33414300422838,0.21605240673928,-9.9443390038948,0.53127571121276,0
4794,0.045,0.0058002778119482,0.0024669448119482,0.0082755400028924,0.060547774480464,0.23877515437068,-9.9432536291064,2.3541465633804,0
3289,0.045,0.0056006735283689,0.0022673405283689,0.13658475159196,-0.30143056765793,0.23067560400106,-9.9404694806222,0.59382109555486,0
5009,0.045,0.0053695336216604,0.0020362006216604,0.040117263028547,-0.045451608139695,0.33091962764105,-9.9396127412531,1.1907700005565,0
4956,0.045,0.0051559395089931,0.0018226065089931,0.019489144610278,0.036771706935783,0.3748339671751,-9.9387461652509,1.5742306418435,0
3290,0.045,0.005449884585172,0.002116551585172,0.12126992539675,-0.26991799777686,0.24305639618426,-9.9363714128637,0.65635379989985,0
3291,0.045,0.0053211766861972,0.0019878436861972,0.1068734492421,-0.23991334447561,0.2533685596413,-9.9320448786263,0.71887248881072,0
4740,0.030839016575798,0.0047908342125795,0.0014575012125795,0.0065048399475841,0.03866757310217,0.14214920710564,-9.9314082372877,2.617037282402,0
3292,0.045,0.0052172002536494,0.0018838672536494,0.093539236503495,-0.21162722173448,0.26181469342057,-9.9274899637263,0.78137582722242,0
5010,0.045,0.0053521732435373,0.0020188402435373,0.029764337314454,-0.019388624969494,0.3315054760933,-9.924183061463,1.3177413472806,0
4903,0.045,0.0040121969960387,0.00067886399603875,0.01135538609856,0.076625126910619,0.36967840186085,-9.9234782603656,1.9597535873956,0
3293,0.045,0.0051381247272113,0.0018047917272113,0.081348931489921,-0.18516784748182,0.26858579551237,-9.9227067617785,0.84386248061918,0
4849,0.045,0.0050300608357131,0.0016967278357131,0.0089892521173239,0.075053372653528,0.30698052222248,-9.9217871360624,2.2198646093715,0
4957,0.045,0.0049764366227979,0.0016431036227979,0.015103566934767,0.049856437922761,0.36820383744893,-9.9185837997955,1.7012474938142,0
3294,0.045,0.0050789978012704,0.0017456648012704,0.07033902025675,-0.16044260030843,0.27385604869087,-9.9176953742172,0.90633111480802,0
