77 2.3427467714199000e+00 3.2142857142857001e-01 -4.6032803335650998e+00 1.5189505659248001e-02 3.2142857142857001e-01
78 2.3427467714199000e+00 5.3571428571429003e-01 -4.6032803335650998e+00 1.5189505659248001e-02 3.2468295588307999e-01
79 2.3427467714199000e+00 7.5000000000000000e-01 -4.6032803335650998e+00 1.5189505659249000e-02 2.8398849831829998e-01
80 3.1905426560615999e+00 1.0714285687500000e-01 -3.8955428499246998e+00 1.5189218485888001e-02 1.0714285687500000e-01
81 3.1905426554297001e+00 3.2142857062500002e-01 -3.8955428488650998e+00 1.5189218201059999e-02 3.2142857062500002e-01
82 3.1905426547976998e+00 5.3571428437500002e-01 -3.8955428478053999e+00 1.5189217916233001e-02 4.5637348194978000e-01
83 3.1905426541657000e+00 7.4999999919643001e-01 -3.8955428467458000e+00 1.5189217783298001e-02 4.1077538005086001e-01
84 3.2562007766382002e+00 1.0714285794643000e-01 -4.0094278836481996e+00 1.5193816585771999e-02 1.0714285794643000e-01
85 3.2562007760062999e+00 3.2142857383929002e-01 -4.0094278825886001e+00 1.5193816872573001e-02 3.2142857383929002e-01
86 3.2562007753743001e+00 5.3571428973213997e-01 -4.0094278815289002e+00 1.5193817159374000e-02 3.2795826753232998e-01
87 3.2562007747422999e+00 7.5000000241070996e-01 -4.0094278804692998e+00 1.5193816990361000e-02 2.8660511371014002e-01
88 2.7502831899845002e+00 1.0714285687500000e-01 -4.2179444909750003e+00 1.5193998729982000e-02 1.0714285687500000e-01
89 2.7502831898882998e+00 3.2142857062500002e-01 -4.2179444908433004e+00 1.5193998690842000e-02 3.2142857062500002e-01
90 2.7502831897920998e+00 5.3571428437500002e-01 -4.2179444907115000e+00 1.5193998651701001e-02 4.5156091743141002e-01
91 2.7502831896958000e+00 7.4999999919643001e-01 -4.2179444905796997e+00 1.5193998764500999e-02 4.0658697040921998e-01
92 2.8151843242440000e+00 1.0714285687500000e-01 -4.3305183859365997e+00 1.5189505488437000e-02 1.0714285687500000e-01
93 2.8151843241478001e+00 3.2142857062500002e-01 -4.3305183858048002e+00 1.5189505525604000e-02 3.2142857062500002e-01
94 2.8151843240515002e+00 5.3571428437500002e-01 -4.3305183856731002e+00 1.5189505562771001e-02 3.2468295670144998e-01
