id,x,y,z,yw
1326,-1.9853809480257001e-01,1.0602349027423999e+01,0.0000000000000000e+00,9.9109350381761996e-02
1321,-1.7897623313506000e-01,9.5746954153150998e+00,0.0000000000000000e+00,1.7927633752503000e-01
1320,-1.7520777442002000e-01,9.3199260638010006e+00,0.0000000000000000e+00,1.7548121671205999e-01
1319,-1.7143931570497001e-01,9.0651567122869992e+00,0.0000000000000000e+00,1.7168938675115000e-01
1318,-1.6767085698993001e-01,8.8103873607726992e+00,0.0000000000000000e+00,1.6789817318460001e-01
1317,-1.6390239827486999e-01,8.5556180092579002e+00,0.0000000000000000e+00,1.6410761873227001e-01
1316,-1.6013393955982999e-01,8.3008486577433001e+00,0.0000000000000000e+00,1.6031777014644000e-01
1315,-1.5636548084478000e-01,8.0460793062286999e+00,0.0000000000000000e+00,1.5652867869813000e-01
1314,-1.5259702212973000e-01,7.7913099547142997e+00,0.0000000000000000e+00,1.5274040073515999e-01
1313,-1.4882856341469000e-01,7.5365406031999997e+00,0.0000000000000000e+00,1.4895299832497999e-01
1312,-1.4506010469964001e-01,7.2817712516856004e+00,0.0000000000000000e+00,1.4516653999723000e-01
1311,-1.4129164598461000e-01,7.0270019001725004e+00,0.0000000000000000e+00,1.4138110160499001e-01
1310,-1.3752318726959001e-01,6.7722325486596002e+00,0.0000000000000000e+00,1.3759676732692999e-01
1309,-1.3375472855456999e-01,6.5174631971463004e+00,0.0000000000000000e+00,1.3381363083820000e-01
1308,-1.2998626983954001e-01,6.2626938456334003e+00,0.0000000000000000e+00,1.3003179668407000e-01
1307,-1.2621781112451999e-01,6.0079244941205996e+00,0.0000000000000000e+00,1.2625138189808000e-01
1306,-1.2244935240950000e-01,5.7531551426077998e+00,0.0000000000000000e+00,1.2247251791715000e-01
1305,-1.1868089369447000e-01,5.4983857910951004e+00,0.0000000000000000e+00,1.1869535285875001e-01
290,-1.1516732652033000e-01,6.2500001999966004e-01,0.0000000000000000e+00,1.1516732652036001e-01
291,-1.1516732652033000e-01,8.7500002799966003e-01,0.0000000000000000e+00,1.1516732652036001e-01
1304,-1.1491243497945000e-01,5.2436164395822997e+00,0.0000000000000000e+00,1.1492005424233000e-01
908,-1.1482175372289000e-01,1.1288104973141000e+00,0.0000000000000000e+00,1.1482175372290999e-01
909,-1.1413060812799999e-01,1.3864314279422001e+00,0.0000000000000000e+00,1.1413060812799999e-01
910,-1.1343946253311001e-01,1.6440523585700999e+00,0.0000000000000000e+00,1.1343946253311001e-01
911,-1.1274831693822000e-01,1.9016732891976000e+00,0.0000000000000000e+00,1.1274831693822000e-01
912,-1.1205717134334001e-01,2.1592942198252998e+00,0.0000000000000000e+00,1.1205717134334001e-01
913,-1.1136602574845000e-01,2.4169151504533000e+00,0.0000000000000000e+00,1.1136602574845000e-01
1303,-1.1114397626442001e-01,4.9888470880693996e+00,0.0000000000000000e+00,1.1114681225910999e-01
914,-1.1067488015356999e-01,2.6745360810813001e+00,0.0000000000000000e+00,1.1067488015356999e-01
915,-1.0998373455868000e-01,2.9321570117101001e+00,0.0000000000000000e+00,1.0998373455868000e-01
916,-1.0929258896378000e-01,3.1897779423394002e+00,0.0000000000000000e+00,1.0929258896378000e-01
917,-1.0860144336888999e-01,3.4473988729684999e+00,0.0000000000000000e+00,1.0860144336888999e-01
918,-1.0791029777400001e-01,3.7050198035977999e+00,0.0000000000000000e+00,1.0791029777400001e-01
1302,-1.0737551754940000e-01,4.7340777365564000e+00,0.0000000000000000e+00,1.0737584372277000e-01
919,-1.0721915217911000e-01,3.9626407342270000e+00,0.0000000000000000e+00,1.0721915217911000e-01
